Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5267265--33.3821939 16 1 1 1 1 3 3 4 6 9 10 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5271108--33.3809786 81 1 1 1 2 2 4 4 7 9 10 10 11 12 13 13 13 13 14 14 14 14 14 14 14 14 14
-56.5236644--33.3814916 44 1 1 1 1 2 3 5 6 9 10 11 12 12 13 13 13 14 14 14 14 14 14 14 14 14 14
-56.5256414--33.3806001 63 1 1 1 2 2 4 5 7 10 10 11 12 12 13 13 13 13 14 14 14 14 14 14 14 14 14
-56.5246749--33.3831289 51 1 1 1 1 2 3 3 6 6 10 10 11 12 12 13 14 14 14 14 14 14 14 14 14 14 14
-56.5267265--33.3821939 21 1 1 1 1 3 3 4 6 9 10 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5241727--33.3823289 40 1 1 1 1 3 3 4 6 7 10 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5261856--33.3814068 57 1 1 1 2 2 4 5 6 9 10 11 12 12 13 13 13 14 14 14 14 14 14 14 14 14 14
-56.522185--33.3811161 121 1 1 1 1 2 2 5 7 9 10 11 12 12 13 13 13 13 14 14 14 14 14 14 14 14 14
-56.521228--33.3815581 41 1 1 1 1 2 2 3 6 9 10 11 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5202573--33.3820043 47 1 1 1 1 1 2 3 7 8 9 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.519311--33.3824482 98 1 1 1 1 1 2 3 5 7 9 10 11 12 12 13 14 14 14 14 14 14 14 14 14 14 14
-56.518344--33.3828989 90 1 1 1 1 1 1 3 4 7 8 9 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5226872--33.3819301 28 1 1 1 1 2 3 4 5 9 10 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5231959--33.3827651 76 1 1 1 1 1 3 3 6 8 9 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5217437--33.3823697 70 1 1 1 1 1 2 3 7 8 9 10 11 12 12 13 13 14 14 14 14 14 14 14 14 14 14
-56.5222457--33.3831779 60 1 1 1 1 1 3 3 5 7 9 10 11 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5207592--33.3828161 56 1 1 1 1 1 2 3 6 7 9 10 11 12 12 13 14 14 14 14 14 14 14 14 14 14 14
-56.5212557--33.383621 94 1 1 1 1 1 1 4 5 7 8 9 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5202075--33.384108 0 1 1 1 1 1 1 4 5 6 7 9 10 11 12 13 14 14 14 14 14 14 14 14 14 14 14
-56.5198047--33.3832548 47 1 1 1 1 1 1 4 5 7 8 9 10 11 12 12 14 14 14 14 14 14 14 14 14 14 14
-56.5202936--33.3840676 91 1 1 1 1 1 1 4 5 6 7 9 10 11 12 13 14 14 14 14 14 14 14 14 14 14 14
