Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-55.5573991--30.8928055 83 1 1 1 1 1 1 1 2 2 3 6 8 9 12 12 12 12 12 12 12 13 13 13 13 13 13
-55.5564616--30.8932893 99 1 1 1 1 1 1 2 2 2 4 6 8 10 12 12 12 12 12 12 13 13 13 13 13 13 13
-55.5588515--30.8931194 68 1 1 1 1 1 1 1 2 2 2 3 7 8 11 12 12 12 12 12 12 13 13 13 13 13 13
-55.5570528--30.8940884 57 1 1 1 1 1 1 2 2 2 3 7 8 11 12 12 12 12 12 12 13 13 13 13 13 13 13
-55.5576127--30.8948674 73 1 1 1 1 1 1 2 2 2 2 5 8 10 11 12 12 12 12 13 13 13 13 13 13 13 13
-55.5581555--30.895653 84 1 1 1 1 1 1 2 2 2 2 4 9 10 11 12 12 12 12 13 13 13 13 13 13 13 13
-55.5587139--30.8964236 68 1 1 1 1 1 1 1 2 2 2 3 7 9 10 11 12 12 13 13 13 13 13 13 13 13 13
-55.5583697--30.8976887 52 1 1 1 1 1 1 1 2 2 3 5 7 9 10 11 12 13 13 13 13 13 13 13 13 13 14
-55.5589188--30.8984633 74 1 1 1 1 1 1 1 2 2 4 5 6 9 10 11 12 13 13 13 13 13 13 13 13 13 14
-55.5606343--30.8990938 47 1 1 1 1 1 1 1 1 2 3 5 5 6 9 10 11 13 13 13 13 13 13 13 13 13 14
-55.5595504--30.8993649 0 1 1 1 1 1 1 1 1 3 5 5 5 7 9 10 12 13 13 13 13 13 13 13 13 14 14
-55.5499726--30.8859465 83 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5505459--30.8867411 75 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5510997--30.8875286 53 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5478239--30.8874077 54 1 1 1 1 1 1 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5482571--30.8870905 130 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5478621--30.888258 66 1 1 1 1 1 2 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13 13 13 13
-55.54962--30.8872264 82 1 1 1 1 1 1 3 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13 13 13
-55.5492778--30.8884901 74 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5501896--30.8880089 113 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13 13 13
-55.5522204--30.8890804 76 1 1 1 1 1 1 2 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5516587--30.8883072 81 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5494877--30.890523 97 1 1 1 1 1 2 3 5 7 8 8 9 10 11 12 12 12 12 12 12 13 13 13 13 13 13
-55.5498397--30.8892711 79 1 1 1 1 1 2 3 3 7 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13 13
-55.5503961--30.8900423 93 1 1 1 1 1 2 3 3 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13 13
-55.5507448--30.8887915 72 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13 13
-55.5566914--30.895361 108 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13 13 13 13 13
-55.5568987--30.8973877 58 1 1 1 1 1 1 2 2 2 3 7 9 10 11 12 12 13 13 13 13 13 13 13 13 13 14
-55.5572409--30.8961417 87 1 1 1 1 1 1 2 2 2 2 6 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13
-55.5574554--30.8981736 86 1 1 1 1 1 1 2 2 2 4 6 9 10 11 12 12 13 13 13 13 13 13 13 13 13 14
-55.5580098--30.8989566 105 1 1 1 1 1 1 1 2 3 5 5 7 9 10 11 13 13 13 13 13 13 13 13 13 14 14
-55.5557884--30.8958307 59 1 1 1 1 1 2 2 2 2 5 8 10 11 12 12 12 12 13 13 13 13 13 13 13 13 13
-55.5560006--30.8978715 77 1 1 1 1 1 2 2 2 2 6 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-55.5563417--30.8966093 94 1 1 1 1 1 2 2 2 2 4 9 10 11 12 12 12 12 13 13 13 13 13 13 13 13 13
-55.5565539--30.8986509 56 1 1 1 1 1 1 2 2 3 5 7 9 10 11 12 13 13 13 13 13 13 13 13 13 14 14
-55.5571035--30.8994395 90 1 1 1 1 1 1 2 2 4 5 6 9 10 11 12 13 13 13 13 13 13 13 13 13 14 14
-55.5550304--30.9017705 0 1 1 1 1 1 1 3 5 5 6 9 10 11 13 13 13 13 13 13 13 13 13 14 14 14 14
-55.5530871--30.8972984 52 1 1 1 1 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13 13 13 13 13 14 14
-55.5548749--30.8963072 104 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13 13 13 13 13 14
-55.5550878--30.8983645 94 1 1 1 1 1 2 2 2 5 7 9 10 11 12 12 13 13 13 13 13 13 13 13 13 14 14
-55.5536213--30.8980533 69 1 1 1 1 1 2 2 4 6 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-55.5554297--30.8970971 112 1 1 1 1 1 2 2 2 4 6 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-55.5567506--30.9007204 0 1 1 1 1 1 1 2 4 5 5 6 9 10 11 13 13 13 13 13 13 13 13 13 14 14 14
-55.5576641--30.9002341 0 1 1 1 1 1 1 1 3 5 5 5 7 9 10 12 13 13 13 13 13 13 13 13 14 14 14
